CaseID,ActivityName,StartTime,CompleteTime,REG_DATE,AmountReq,ResourceID,ActivityID,Duration
173718,O_SELECTED,2011-10-01 10:44:40.725,2011-10-01 10:44:40.725,2011/10/01 10:37:39.362,15000,R10862,O4,0.0
173718,O_CREATED,2011-10-01 10:44:42.707,2011-10-01 10:44:42.707,2011/10/01 10:37:39.362,15000,R10862,O2,0.0
173718,O_SENT,2011-10-01 10:44:42.734,2011-10-01 10:44:42.734,2011/10/01 10:37:39.362,15000,R10862,O5,0.0
173718,O_SENT,2011-10-01 10:44:42.734,2011-10-01 10:44:42.734,2011/10/01 10:37:39.362,15000,R10862,O5,0.0
173718,O_SELECTED,2011-10-01 10:46:52.915,2011-10-01 10:46:52.915,2011/10/01 10:37:39.362,15000,R10862,O4,0.0
173718,O_CANCELLED,2011-10-01 10:46:52.915,2011-10-01 10:46:52.915,2011/10/01 10:37:39.362,15000,R10862,O1,0.0
173718,O_CREATED,2011-10-01 10:46:54.210,2011-10-01 10:46:54.210,2011/10/01 10:37:39.362,15000,R10862,O2,0.0
173718,O_SENT,2011-10-01 10:46:54.233,2011-10-01 10:46:54.233,2011/10/01 10:37:39.362,15000,R10862,O5,0.0
173718,O_SENT,2011-10-01 10:46:54.233,2011-10-01 10:46:54.233,2011/10/01 10:37:39.362,15000,R10862,O5,0.0
173721,O_SELECTED,2011-10-01 11:20:47.605,2011-10-01 11:20:47.605,2011/10/01 11:07:34.279,9000,R10939,O4,0.0
173721,O_CREATED,2011-10-01 11:20:49.026,2011-10-01 11:20:49.026,2011/10/01 11:07:34.279,9000,R10939,O2,0.0
173721,O_SENT,2011-10-01 11:20:49.058,2011-10-01 11:20:49.058,2011/10/01 11:07:34.279,9000,R10939,O5,0.0
173721,O_SENT,2011-10-01 11:20:49.058,2011-10-01 11:20:49.058,2011/10/01 11:07:34.279,9000,R10939,O5,0.0
173688,O_SELECTED,2011-10-01 11:45:09.243,2011-10-01 11:45:09.243,2011/10/01 00:38:44.546,20000,R10862,O4,0.0
173688,O_CREATED,2011-10-01 11:45:11.197,2011-10-01 11:45:11.197,2011/10/01 00:38:44.546,20000,R10862,O2,0.0
173688,O_SENT,2011-10-01 11:45:11.380,2011-10-01 11:45:11.380,2011/10/01 00:38:44.546,20000,R10862,O5,0.0
173688,O_SENT,2011-10-01 11:45:11.380,2011-10-01 11:45:11.380,2011/10/01 00:38:44.546,20000,R10862,O5,0.0
173715,O_SELECTED,2011-10-01 12:30:20.556,2011-10-01 12:30:20.556,2011/10/01 09:59:10.501,45000,R10912,O4,0.0
173715,O_CREATED,2011-10-01 12:30:21.780,2011-10-01 12:30:21.780,2011/10/01 09:59:10.501,45000,R10912,O2,0.0
173715,O_SENT,2011-10-01 12:30:21.806,2011-10-01 12:30:21.806,2011/10/01 09:59:10.501,45000,R10912,O5,0.0
173715,O_SENT,2011-10-01 12:30:21.806,2011-10-01 12:30:21.806,2011/10/01 09:59:10.501,45000,R10912,O5,0.0
173691,O_SELECTED,2011-10-01 14:35:46.016,2011-10-01 14:35:46.016,2011/10/01 08:08:58.256,5000,R10862,O4,0.0
173691,O_CREATED,2011-10-01 14:35:47.488,2011-10-01 14:35:47.488,2011/10/01 08:08:58.256,5000,R10862,O2,0.0
173691,O_SENT,2011-10-01 14:35:47.583,2011-10-01 14:35:47.583,2011/10/01 08:08:58.256,5000,R10862,O5,0.0
173691,O_SENT,2011-10-01 14:35:47.583,2011-10-01 14:35:47.583,2011/10/01 08:08:58.256,5000,R10862,O5,0.0
173730,O_SELECTED,2011-10-01 15:40:08.254,2011-10-01 15:40:08.254,2011/10/01 12:36:08.943,15000,R11203,O4,0.0
173730,O_CREATED,2011-10-01 15:40:09.986,2011-10-01 15:40:09.986,2011/10/01 12:36:08.943,15000,R11203,O2,0.0
173730,O_SENT,2011-10-01 15:40:10.012,2011-10-01 15:40:10.012,2011/10/01 12:36:08.943,15000,R11203,O5,0.0
173730,O_SENT,2011-10-01 15:40:10.012,2011-10-01 15:40:10.012,2011/10/01 12:36:08.943,15000,R11203,O5,0.0
173739,O_SELECTED,2011-10-01 15:56:39.615,2011-10-01 15:56:39.615,2011/10/01 13:12:58.663,10000,R11000,O4,0.0
173739,O_CREATED,2011-10-01 15:56:40.771,2011-10-01 15:56:40.771,2011/10/01 13:12:58.663,10000,R11000,O2,0.0
173739,O_SENT,2011-10-01 15:56:40.801,2011-10-01 15:56:40.801,2011/10/01 13:12:58.663,10000,R11000,O5,0.0
173739,O_SENT,2011-10-01 15:56:40.801,2011-10-01 15:56:40.801,2011/10/01 13:12:58.663,10000,R11000,O5,0.0
173745,O_SELECTED,2011-10-01 15:58:41.855,2011-10-01 15:58:41.855,2011/10/01 14:08:16.293,2000,R11111,O4,0.0
173745,O_CREATED,2011-10-01 15:58:44.837,2011-10-01 15:58:44.837,2011/10/01 14:08:16.293,2000,R11111,O2,0.0
173745,O_SENT,2011-10-01 15:58:44.859,2011-10-01 15:58:44.859,2011/10/01 14:08:16.293,2000,R11111,O5,0.0
173745,O_SENT,2011-10-01 15:58:44.859,2011-10-01 15:58:44.859,2011/10/01 14:08:16.293,2000,R11111,O5,0.0
173760,O_SELECTED,2011-10-01 16:01:43.413,2011-10-01 16:01:43.413,2011/10/01 15:15:17.454,32000,R11019,O4,0.0
173760,O_CREATED,2011-10-01 16:01:44.340,2011-10-01 16:01:44.340,2011/10/01 15:15:17.454,32000,R11019,O2,0.0
173760,O_SENT,2011-10-01 16:01:44.367,2011-10-01 16:01:44.367,2011/10/01 15:15:17.454,32000,R11019,O5,0.0
173760,O_SENT,2011-10-01 16:01:44.367,2011-10-01 16:01:44.367,2011/10/01 15:15:17.454,32000,R11019,O5,0.0
173736,O_SELECTED,2011-10-01 16:05:26.312,2011-10-01 16:05:26.312,2011/10/01 13:01:58.813,15000,R11203,O4,0.0
173736,O_CREATED,2011-10-01 16:05:27.699,2011-10-01 16:05:27.699,2011/10/01 13:01:58.813,15000,R11203,O2,0.0
173736,O_SENT,2011-10-01 16:05:27.739,2011-10-01 16:05:27.739,2011/10/01 13:01:58.813,15000,R11203,O5,0.0
173736,O_SENT,2011-10-01 16:05:27.739,2011-10-01 16:05:27.739,2011/10/01 13:01:58.813,15000,R11203,O5,0.0
173748,O_SELECTED,2011-10-01 16:36:44.831,2011-10-01 16:36:44.831,2011/10/01 14:09:16.087,5000,R11119,O4,0.0
173748,O_CREATED,2011-10-01 16:37:32.632,2011-10-01 16:37:32.632,2011/10/01 14:09:16.087,5000,R11119,O2,0.0
173748,O_SENT,2011-10-01 16:37:32.669,2011-10-01 16:37:32.669,2011/10/01 14:09:16.087,5000,R11119,O5,0.0
173748,O_SENT,2011-10-01 16:37:32.669,2011-10-01 16:37:32.669,2011/10/01 14:09:16.087,5000,R11119,O5,0.0
173748,O_CANCELLED,2011-10-01 16:42:16.406,2011-10-01 16:42:16.406,2011/10/01 14:09:16.087,5000,R11119,O1,0.0
173748,O_SELECTED,2011-10-01 16:42:16.406,2011-10-01 16:42:16.406,2011/10/01 14:09:16.087,5000,R11119,O4,0.0
173748,O_CREATED,2011-10-01 16:42:17.394,2011-10-01 16:42:17.394,2011/10/01 14:09:16.087,5000,R11119,O2,0.0
173748,O_SENT,2011-10-01 16:42:17.419,2011-10-01 16:42:17.419,2011/10/01 14:09:16.087,5000,R11119,O5,0.0
173748,O_SENT,2011-10-01 16:42:17.419,2011-10-01 16:42:17.419,2011/10/01 14:09:16.087,5000,R11119,O5,0.0
173751,O_SELECTED,2011-10-01 16:49:59.191,2011-10-01 16:49:59.191,2011/10/01 14:14:39.442,10000,R11111,O4,0.0
173751,O_CREATED,2011-10-01 16:50:00.969,2011-10-01 16:50:00.969,2011/10/01 14:14:39.442,10000,R11111,O2,0.0
173751,O_SENT,2011-10-01 16:50:01.004,2011-10-01 16:50:01.004,2011/10/01 14:14:39.442,10000,R11111,O5,0.0
173751,O_SENT,2011-10-01 16:50:01.004,2011-10-01 16:50:01.004,2011/10/01 14:14:39.442,10000,R11111,O5,0.0
173790,O_SELECTED,2011-10-03 09:26:10.575,2011-10-03 09:26:10.575,2011/10/01 19:14:15.425,5000,R11120,O4,0.0
173790,O_CREATED,2011-10-03 09:26:11.521,2011-10-03 09:26:11.521,2011/10/01 19:14:15.425,5000,R11120,O2,0.0
173790,O_SENT,2011-10-03 09:26:11.544,2011-10-03 09:26:11.544,2011/10/01 19:14:15.425,5000,R11120,O5,0.0
173790,O_SENT,2011-10-03 09:26:11.544,2011-10-03 09:26:11.544,2011/10/01 19:14:15.425,5000,R11120,O5,0.0
173787,O_SELECTED,2011-10-03 09:31:07.141,2011-10-03 09:31:07.141,2011/10/01 19:06:01.646,5000,R11202,O4,0.0
173787,O_CREATED,2011-10-03 09:31:08.267,2011-10-03 09:31:08.267,2011/10/01 19:06:01.646,5000,R11202,O2,0.0
173787,O_SENT,2011-10-03 09:31:08.302,2011-10-03 09:31:08.302,2011/10/01 19:06:01.646,5000,R11202,O5,0.0
173787,O_SENT,2011-10-03 09:31:08.302,2011-10-03 09:31:08.302,2011/10/01 19:06:01.646,5000,R11202,O5,0.0
173787,O_CANCELLED,2011-10-03 09:36:43.291,2011-10-03 09:36:43.291,2011/10/01 19:06:01.646,5000,R11202,O1,0.0
173787,O_SELECTED,2011-10-03 09:36:43.291,2011-10-03 09:36:43.291,2011/10/01 19:06:01.646,5000,R11202,O4,0.0
173787,O_CREATED,2011-10-03 09:36:44.181,2011-10-03 09:36:44.181,2011/10/01 19:06:01.646,5000,R11202,O2,0.0
173787,O_SENT,2011-10-03 09:36:44.208,2011-10-03 09:36:44.208,2011/10/01 19:06:01.646,5000,R11202,O5,0.0
173787,O_SENT,2011-10-03 09:36:44.208,2011-10-03 09:36:44.208,2011/10/01 19:06:01.646,5000,R11202,O5,0.0
173817,O_SELECTED,2011-10-03 09:52:38.282,2011-10-03 09:52:38.282,2011/10/02 00:57:28.742,7000,R11180,O4,0.0
173817,O_CREATED,2011-10-03 09:52:39.285,2011-10-03 09:52:39.285,2011/10/02 00:57:28.742,7000,R11180,O2,0.0
173817,O_SENT,2011-10-03 09:52:39.309,2011-10-03 09:52:39.309,2011/10/02 00:57:28.742,7000,R11180,O5,0.0
173817,O_SENT,2011-10-03 09:52:39.309,2011-10-03 09:52:39.309,2011/10/02 00:57:28.742,7000,R11180,O5,0.0
173817,O_CANCELLED,2011-10-03 09:53:26.256,2011-10-03 09:53:26.256,2011/10/02 00:57:28.742,7000,R11180,O1,0.0
173817,O_SELECTED,2011-10-03 09:53:26.256,2011-10-03 09:53:26.256,2011/10/02 00:57:28.742,7000,R11180,O4,0.0
173817,O_CREATED,2011-10-03 09:53:27.636,2011-10-03 09:53:27.636,2011/10/02 00:57:28.742,7000,R11180,O2,0.0
173817,O_SENT,2011-10-03 09:53:27.660,2011-10-03 09:53:27.660,2011/10/02 00:57:28.742,7000,R11180,O5,0.0
173817,O_SENT,2011-10-03 09:53:27.660,2011-10-03 09:53:27.660,2011/10/02 00:57:28.742,7000,R11180,O5,0.0
173985,O_SELECTED,2011-10-03 09:54:36.342,2011-10-03 09:54:36.342,2011/10/03 09:34:18.390,5800,R10971,O4,0.0
173985,O_CREATED,2011-10-03 09:54:37.553,2011-10-03 09:54:37.553,2011/10/03 09:34:18.390,5800,R10971,O2,0.0
173985,O_SENT,2011-10-03 09:54:37.585,2011-10-03 09:54:37.585,2011/10/03 09:34:18.390,5800,R10971,O5,0.0
173985,O_SENT,2011-10-03 09:54:37.585,2011-10-03 09:54:37.585,2011/10/03 09:34:18.390,5800,R10971,O5,0.0
173823,O_SELECTED,2011-10-03 09:57:31.958,2011-10-03 09:57:31.958,2011/10/02 09:23:29.387,15000,R11120,O4,0.0
173823,O_CREATED,2011-10-03 09:57:33.333,2011-10-03 09:57:33.333,2011/10/02 09:23:29.387,15000,R11120,O2,0.0
173823,O_SENT,2011-10-03 09:57:33.385,2011-10-03 09:57:33.385,2011/10/02 09:23:29.387,15000,R11120,O5,0.0
173823,O_SENT,2011-10-03 09:57:33.385,2011-10-03 09:57:33.385,2011/10/02 09:23:29.387,15000,R11120,O5,0.0
173868,O_SELECTED,2011-10-03 10:21:41.574,2011-10-03 10:21:41.574,2011/10/02 12:24:18.960,5000,R11180,O4,0.0
173868,O_CREATED,2011-10-03 10:21:42.754,2011-10-03 10:21:42.754,2011/10/02 12:24:18.960,5000,R11180,O2,0.0
173868,O_SENT,2011-10-03 10:21:42.783,2011-10-03 10:21:42.783,2011/10/02 12:24:18.960,5000,R11180,O5,0.0
173868,O_SENT,2011-10-03 10:21:42.783,2011-10-03 10:21:42.783,2011/10/02 12:24:18.960,5000,R11180,O5,0.0
173847,O_SELECTED,2011-10-03 10:22:05.122,2011-10-03 10:22:05.122,2011/10/02 11:26:19.625,5000,R11202,O4,0.0
173847,O_CREATED,2011-10-03 10:22:06.712,2011-10-03 10:22:06.712,2011/10/02 11:26:19.625,5000,R11202,O2,0.0
173847,O_SENT,2011-10-03 10:22:06.733,2011-10-03 10:22:06.733,2011/10/02 11:26:19.625,5000,R11202,O5,0.0
173847,O_SENT,2011-10-03 10:22:06.733,2011-10-03 10:22:06.733,2011/10/02 11:26:19.625,5000,R11202,O5,0.0
173988,O_SELECTED,2011-10-03 10:33:55.554,2011-10-03 10:33:55.554,2011/10/03 09:52:42.796,10000,R10971,O4,0.0
173988,O_CREATED,2011-10-03 10:33:57.668,2011-10-03 10:33:57.668,2011/10/03 09:52:42.796,10000,R10971,O2,0.0
173988,O_SENT,2011-10-03 10:33:57.696,2011-10-03 10:33:57.696,2011/10/03 09:52:42.796,10000,R10971,O5,0.0
173988,O_SENT,2011-10-03 10:33:57.696,2011-10-03 10:33:57.696,2011/10/03 09:52:42.796,10000,R10971,O5,0.0
173835,O_SELECTED,2011-10-03 10:35:59.279,2011-10-03 10:35:59.279,2011/10/02 10:20:29.934,10000,R11180,O4,0.0
173835,O_CREATED,2011-10-03 10:36:00.341,2011-10-03 10:36:00.341,2011/10/02 10:20:29.934,10000,R11180,O2,0.0
173835,O_SENT,2011-10-03 10:36:00.372,2011-10-03 10:36:00.372,2011/10/02 10:20:29.934,10000,R11180,O5,0.0
173835,O_SENT,2011-10-03 10:36:00.372,2011-10-03 10:36:00.372,2011/10/02 10:20:29.934,10000,R11180,O5,0.0
173913,O_SELECTED,2011-10-03 10:43:47.996,2011-10-03 10:43:47.996,2011/10/02 17:18:05.023,5500,R11202,O4,0.0
173913,O_CREATED,2011-10-03 10:43:51.087,2011-10-03 10:43:51.087,2011/10/02 17:18:05.023,5500,R11202,O2,0.0
173913,O_SENT,2011-10-03 10:43:51.111,2011-10-03 10:43:51.111,2011/10/02 17:18:05.023,5500,R11202,O5,0.0
173913,O_SENT,2011-10-03 10:43:51.111,2011-10-03 10:43:51.111,2011/10/02 17:18:05.023,5500,R11202,O5,0.0
174000,O_SELECTED,2011-10-03 10:47:16.213,2011-10-03 10:47:16.213,2011/10/03 10:39:02.381,20000,R10971,O4,0.0
174000,O_CREATED,2011-10-03 10:47:17.739,2011-10-03 10:47:17.739,2011/10/03 10:39:02.381,20000,R10971,O2,0.0
174000,O_SENT,2011-10-03 10:47:17.775,2011-10-03 10:47:17.775,2011/10/03 10:39:02.381,20000,R10971,O5,0.0
174000,O_SENT,2011-10-03 10:47:17.775,2011-10-03 10:47:17.775,2011/10/03 10:39:02.381,20000,R10971,O5,0.0
173946,O_SELECTED,2011-10-03 10:53:05.133,2011-10-03 10:53:05.133,2011/10/02 22:51:17.311,8000,R11180,O4,0.0
173946,O_CREATED,2011-10-03 10:53:06.672,2011-10-03 10:53:06.672,2011/10/02 22:51:17.311,8000,R11180,O2,0.0
173946,O_SENT,2011-10-03 10:53:06.697,2011-10-03 10:53:06.697,2011/10/02 22:51:17.311,8000,R11180,O5,0.0
173946,O_SENT,2011-10-03 10:53:06.697,2011-10-03 10:53:06.697,2011/10/02 22:51:17.311,8000,R11180,O5,0.0
173796,O_SELECTED,2011-10-03 11:15:53.537,2011-10-03 11:15:53.537,2011/10/01 20:19:11.828,15000,R11001,O4,0.0
173796,O_CREATED,2011-10-03 11:16:42.008,2011-10-03 11:16:42.008,2011/10/01 20:19:11.828,15000,R11001,O2,0.0
173796,O_SENT,2011-10-03 11:16:42.037,2011-10-03 11:16:42.037,2011/10/01 20:19:11.828,15000,R11001,O5,0.0
173796,O_SENT,2011-10-03 11:16:42.037,2011-10-03 11:16:42.037,2011/10/01 20:19:11.828,15000,R11001,O5,0.0
173979,O_SELECTED,2011-10-03 11:35:26.248,2011-10-03 11:35:26.248,2011/10/03 08:09:57.957,30000,R10913,O4,0.0
173979,O_CREATED,2011-10-03 11:35:28.217,2011-10-03 11:35:28.217,2011/10/03 08:09:57.957,30000,R10913,O2,0.0
173979,O_SENT,2011-10-03 11:35:28.247,2011-10-03 11:35:28.247,2011/10/03 08:09:57.957,30000,R10913,O5,0.0
173979,O_SENT,2011-10-03 11:35:28.247,2011-10-03 11:35:28.247,2011/10/03 08:09:57.957,30000,R10913,O5,0.0
173811,O_SELECTED,2011-10-03 11:47:47.198,2011-10-03 11:47:47.198,2011/10/01 22:59:29.233,50000,R11180,O4,0.0
173811,O_CREATED,2011-10-03 11:47:48.320,2011-10-03 11:47:48.320,2011/10/01 22:59:29.233,50000,R11180,O2,0.0
173811,O_SENT,2011-10-03 11:47:48.346,2011-10-03 11:47:48.346,2011/10/01 22:59:29.233,50000,R11180,O5,0.0
173811,O_SENT,2011-10-03 11:47:48.346,2011-10-03 11:47:48.346,2011/10/01 22:59:29.233,50000,R11180,O5,0.0
174045,O_SELECTED,2011-10-03 12:18:43.014,2011-10-03 12:18:43.014,2011/10/03 12:15:14.680,25000,R10809,O4,0.0
174045,O_CREATED,2011-10-03 12:19:31.116,2011-10-03 12:19:31.116,2011/10/03 12:15:14.680,25000,R10809,O2,0.0
174045,O_SENT,2011-10-03 12:19:31.134,2011-10-03 12:19:31.134,2011/10/03 12:15:14.680,25000,R10809,O5,0.0
174045,O_SENT,2011-10-03 12:19:31.134,2011-10-03 12:19:31.134,2011/10/03 12:15:14.680,25000,R10809,O5,0.0
174045,O_SENT_BACK,2011-10-03 12:24:38.493,2011-10-03 12:24:38.493,2011/10/03 12:15:14.680,25000,R10809,O6,0.0
174045,O_SENT_BACK,2011-10-03 12:24:38.493,2011-10-03 12:24:38.493,2011/10/03 12:15:14.680,25000,R10809,O6,0.0
174042,O_SELECTED,2011-10-03 12:27:15.069,2011-10-03 12:27:15.069,2011/10/03 12:10:17.984,7500,R11202,O4,0.0
174042,O_CREATED,2011-10-03 12:27:16.065,2011-10-03 12:27:16.065,2011/10/03 12:10:17.984,7500,R11202,O2,0.0
174042,O_SENT,2011-10-03 12:27:16.102,2011-10-03 12:27:16.102,2011/10/03 12:10:17.984,7500,R11202,O5,0.0
174042,O_SENT,2011-10-03 12:27:16.102,2011-10-03 12:27:16.102,2011/10/03 12:10:17.984,7500,R11202,O5,0.0
173982,O_SELECTED,2011-10-03 12:36:32.208,2011-10-03 12:36:32.208,2011/10/03 09:30:51.798,8000,R11180,O4,0.0
173982,O_CREATED,2011-10-03 12:36:33.645,2011-10-03 12:36:33.645,2011/10/03 09:30:51.798,8000,R11180,O2,0.0
173982,O_SENT,2011-10-03 12:36:33.674,2011-10-03 12:36:33.674,2011/10/03 09:30:51.798,8000,R11180,O5,0.0
173982,O_SENT,2011-10-03 12:36:33.674,2011-10-03 12:36:33.674,2011/10/03 09:30:51.798,8000,R11180,O5,0.0
173859,O_SELECTED,2011-10-03 12:37:05.899,2011-10-03 12:37:05.899,2011/10/02 11:47:41.502,5000,R11120,O4,0.0
173859,O_CREATED,2011-10-03 12:37:07.181,2011-10-03 12:37:07.181,2011/10/02 11:47:41.502,5000,R11120,O2,0.0
173859,O_SENT,2011-10-03 12:37:07.220,2011-10-03 12:37:07.220,2011/10/02 11:47:41.502,5000,R11120,O5,0.0
173859,O_SENT,2011-10-03 12:37:07.220,2011-10-03 12:37:07.220,2011/10/02 11:47:41.502,5000,R11120,O5,0.0
173844,O_SELECTED,2011-10-03 13:19:45.999,2011-10-03 13:19:45.999,2011/10/02 11:03:26.714,15500,R11201,O4,0.0
173844,O_CREATED,2011-10-03 13:19:47.043,2011-10-03 13:19:47.043,2011/10/02 11:03:26.714,15500,R11201,O2,0.0
173844,O_SENT,2011-10-03 13:19:47.073,2011-10-03 13:19:47.073,2011/10/02 11:03:26.714,15500,R11201,O5,0.0
173844,O_SENT,2011-10-03 13:19:47.073,2011-10-03 13:19:47.073,2011/10/02 11:03:26.714,15500,R11201,O5,0.0
173694,O_SELECTED,2011-10-03 13:40:14.632,2011-10-03 13:40:14.632,2011/10/01 08:10:30.287,7000,R11201,O4,0.0
173694,O_CREATED,2011-10-03 13:40:15.605,2011-10-03 13:40:15.605,2011/10/01 08:10:30.287,7000,R11201,O2,0.0
173694,O_SENT,2011-10-03 13:40:15.651,2011-10-03 13:40:15.651,2011/10/01 08:10:30.287,7000,R11201,O5,0.0
173694,O_SENT,2011-10-03 13:40:15.651,2011-10-03 13:40:15.651,2011/10/01 08:10:30.287,7000,R11201,O5,0.0
173694,O_SELECTED,2011-10-03 13:44:17.619,2011-10-03 13:44:17.619,2011/10/01 08:10:30.287,7000,R11201,O4,0.0
173694,O_CANCELLED,2011-10-03 13:44:17.619,2011-10-03 13:44:17.619,2011/10/01 08:10:30.287,7000,R11201,O1,0.0
173694,O_CREATED,2011-10-03 13:44:19.671,2011-10-03 13:44:19.671,2011/10/01 08:10:30.287,7000,R11201,O2,0.0
173694,O_SENT,2011-10-03 13:44:19.719,2011-10-03 13:44:19.719,2011/10/01 08:10:30.287,7000,R11201,O5,0.0
173694,O_SENT,2011-10-03 13:44:19.719,2011-10-03 13:44:19.719,2011/10/01 08:10:30.287,7000,R11201,O5,0.0
174087,O_SELECTED,2011-10-03 13:53:29.422,2011-10-03 13:53:29.422,2011/10/03 13:46:48.075,15000,R10863,O4,0.0
174087,O_CREATED,2011-10-03 13:53:31.266,2011-10-03 13:53:31.266,2011/10/03 13:46:48.075,15000,R10863,O2,0.0
174087,O_SENT,2011-10-03 13:53:31.305,2011-10-03 13:53:31.305,2011/10/03 13:46:48.075,15000,R10863,O5,0.0
174087,O_SENT,2011-10-03 13:53:31.305,2011-10-03 13:53:31.305,2011/10/03 13:46:48.075,15000,R10863,O5,0.0
174018,O_SELECTED,2011-10-03 14:24:15.999,2011-10-03 14:24:15.999,2011/10/03 11:21:10.598,25000,R11180,O4,0.0
174018,O_CREATED,2011-10-03 14:25:04.174,2011-10-03 14:25:04.174,2011/10/03 11:21:10.598,25000,R11180,O2,0.0
174018,O_SENT,2011-10-03 14:25:04.224,2011-10-03 14:25:04.224,2011/10/03 11:21:10.598,25000,R11180,O5,0.0
174018,O_SENT,2011-10-03 14:25:04.224,2011-10-03 14:25:04.224,2011/10/03 11:21:10.598,25000,R11180,O5,0.0
174060,O_SELECTED,2011-10-03 14:28:02.885,2011-10-03 14:28:02.885,2011/10/03 12:55:00.597,6000,R11201,O4,0.0
174060,O_CREATED,2011-10-03 14:28:04.840,2011-10-03 14:28:04.840,2011/10/03 12:55:00.597,6000,R11201,O2,0.0
174060,O_SENT,2011-10-03 14:28:04.892,2011-10-03 14:28:04.892,2011/10/03 12:55:00.597,6000,R11201,O5,0.0
174060,O_SENT,2011-10-03 14:28:04.892,2011-10-03 14:28:04.892,2011/10/03 12:55:00.597,6000,R11201,O5,0.0
174012,O_SELECTED,2011-10-03 14:29:07.266,2011-10-03 14:29:07.266,2011/10/03 11:06:41.562,7500,R11120,O4,0.0
174012,O_CREATED,2011-10-03 14:29:08.354,2011-10-03 14:29:08.354,2011/10/03 11:06:41.562,7500,R11120,O2,0.0
174012,O_SENT,2011-10-03 14:29:08.382,2011-10-03 14:29:08.382,2011/10/03 11:06:41.562,7500,R11120,O5,0.0
174012,O_SENT,2011-10-03 14:29:08.382,2011-10-03 14:29:08.382,2011/10/03 11:06:41.562,7500,R11120,O5,0.0
174012,O_SELECTED,2011-10-03 14:31:08.751,2011-10-03 14:31:08.751,2011/10/03 11:06:41.562,7500,R11120,O4,0.0
174012,O_CANCELLED,2011-10-03 14:31:08.751,2011-10-03 14:31:08.751,2011/10/03 11:06:41.562,7500,R11120,O1,0.0
174012,O_CREATED,2011-10-03 14:31:10.396,2011-10-03 14:31:10.396,2011/10/03 11:06:41.562,7500,R11120,O2,0.0
174012,O_SENT,2011-10-03 14:31:10.434,2011-10-03 14:31:10.434,2011/10/03 11:06:41.562,7500,R11120,O5,0.0
174012,O_SENT,2011-10-03 14:31:10.434,2011-10-03 14:31:10.434,2011/10/03 11:06:41.562,7500,R11120,O5,0.0
174084,O_SELECTED,2011-10-03 14:31:15.008,2011-10-03 14:31:15.008,2011/10/03 13:26:26.927,8400,R10809,O4,0.0
